prog_id,event_id,prog_name,is_race,prog_date,prog_gender,results,team,race_title,race_venue,race_country,cat_id,cat_name
280909,100915,Elite Men,True,2016-04-23,male,True,False,2016 Penrith OTU Sprint Triathlon Oceania Championships,"Sydney international regatta centre, castlereagh nsw 2749, australia",Australia,[340],['Continental Championships']
280911,100915,U23 Men,True,2016-04-23,male,True,False,2016 Penrith OTU Sprint Triathlon Oceania Championships,"Sydney international regatta centre, castlereagh nsw 2749, australia",Australia,[340],['Continental Championships']
280915,97653,Elite Men,True,2016-04-30,male,True,False,2016 Hatsukaichi ASTC Triathlon Asian Championships," hatsukaichi, hiroshima, japan",Japan,[340],['Continental Championships']
280917,97653,U23 Men,True,2016-04-29,male,True,False,2016 Hatsukaichi ASTC Triathlon Asian Championships," hatsukaichi, hiroshima, japan",Japan,[340],['Continental Championships']
280920,97653,Junior Men,True,2016-04-29,male,True,False,2016 Hatsukaichi ASTC Triathlon Asian Championships," hatsukaichi, hiroshima, japan",Japan,[340],['Continental Championships']
298144,103452,Elite Men,True,2016-05-01,male,True,False,2016 Richmond CAMTRI Sprint Triathlon American Cup,"Richmond, virginia",United states,[341],['Continental Cup']
280977,100888,Elite Men,True,2016-05-01,male,True,False,2016 Madrid ETU Triathlon European Cup,Madrid,Spain,[341],['Continental Cup']
280935,101520,Elite Men,True,2016-05-01,male,True,False,2016 Salinas CAMTRI Triathlon American Cup,Salinas,Ecuador,[341],['Continental Cup']
280939,100585,Elite Men,True,2016-05-08,male,True,False,2016 Huatulco ITU Triathlon World Cup,Huatulco,Mexico,[349],['World Cup']
281268,101006,Elite Men,True,2016-05-07,male,True,False,2016 Larache  ATU Sprint Triathlon African Cup,Larache,Morocco,[341],['Continental Cup']
282287,102758,Elite Men,True,2016-05-07,male,True,False,2016 Taizhou ASTC Triathlon Asian Cup,"Taizhou, jiangsu province, china",China,[341],['Continental Cup']
282252,102732,Elite Men,True,2016-05-08,male,True,False,2016 Cagliari ITU Triathlon World Cup,Cagliari,Italy,[349],['World Cup']
282427,102830,Elite Men,True,2016-05-14,male,True,False,2016 Burabay NTT ASTC Sprint Triathlon Asian Cup,Burabay,Kazakhstan,[341],['Continental Cup']
308649,110760,Junior Men,True,2016-05-14,male,True,False,2016 ESP Triathlon Junior National Championships,,Spain,[-1],['']
280981,97640,Elite Men,True,2016-05-14,male,True,False,2016 ITU World Triathlon Yokohama,Yokohama,Japan,[351],['World Championship Series']
281011,101521,Elite Men,True,2016-05-21,male,True,False,2016 Ixtapa CAMTRI Sprint Triathlon American Cup,Ixtapa,Mexico,[341],['Continental Cup']
281015,101582,Junior Men,True,2016-05-22,male,True,False,2016 L’Aiguillon sur Mer ETU Triathlon Junior European Cup,L’aiguillon sur mer ,France,[342],['Continental Junior Cup']
308805,110804,Elite Men,True,2016-05-22,male,True,False,2016 FRA Sprint Triathlon National Championships,,France,[-1],['']
281020,94389,Elite Men,True,2016-05-28,male,True,False,2016 Lisbon ETU Triathlon European Championships,Lisbon,Portugal,[340],['Continental Championships']
281023,94389,Junior Men,True,2016-05-28,male,True,False,2016 Lisbon ETU Triathlon European Championships,Lisbon,Portugal,[340],['Continental Championships']
302236,94389,20-24 Male AG,True,2016-05-29,male,True,False,2016 Lisbon ETU Triathlon European Championships,Lisbon,Portugal,[340],['Continental Championships']
302238,94389,25-29 Male AG,True,2016-05-29,male,True,False,2016 Lisbon ETU Triathlon European Championships,Lisbon,Portugal,[340],['Continental Championships']
302240,94389,30-34 Male AG,True,2016-05-29,male,True,False,2016 Lisbon ETU Triathlon European Championships,Lisbon,Portugal,[340],['Continental Championships']
302242,94389,35-39 Male AG,True,2016-05-29,male,True,False,2016 Lisbon ETU Triathlon European Championships,Lisbon,Portugal,[340],['Continental Championships']
302244,94389,40-44 Male AG,True,2016-05-29,male,True,False,2016 Lisbon ETU Triathlon European Championships,Lisbon,Portugal,[340],['Continental Championships']
302246,94389,45-49 Male AG,True,2016-05-29,male,True,False,2016 Lisbon ETU Triathlon European Championships,Lisbon,Portugal,[340],['Continental Championships']
302248,94389,50-54 Male AG,True,2016-05-29,male,True,False,2016 Lisbon ETU Triathlon European Championships,Lisbon,Portugal,[340],['Continental Championships']
302250,94389,55-59 Male AG,True,2016-05-29,male,True,False,2016 Lisbon ETU Triathlon European Championships,Lisbon,Portugal,[340],['Continental Championships']
302252,94389,60-64 Male AG,True,2016-05-29,male,True,False,2016 Lisbon ETU Triathlon European Championships,Lisbon,Portugal,[340],['Continental Championships']
302254,94389,65-69 Male AG,True,2016-05-29,male,True,False,2016 Lisbon ETU Triathlon European Championships,Lisbon,Portugal,[340],['Continental Championships']
302256,94389,70-74 Male AG,True,2016-05-29,male,True,False,2016 Lisbon ETU Triathlon European Championships,Lisbon,Portugal,[340],['Continental Championships']
302257,94389,75-79 Male AG,True,2016-05-29,male,True,False,2016 Lisbon ETU Triathlon European Championships,Lisbon,Portugal,[340],['Continental Championships']
302258,94389,80-84 Male AG,True,2016-05-29,male,True,False,2016 Lisbon ETU Triathlon European Championships,Lisbon,Portugal,[340],['Continental Championships']
281039,100916,Elite Men,True,2016-05-28,male,True,False,2016 Fiji OTU Sprint Triathlon Oceania Cup,Nadi,Fiji,[341],['Continental Cup']
307762,110224,Elite Men,True,2016-06-04,male,True,False,2016 RUS Sprint Triathlon National Championships,,Russia,[-1],['']
323374,122714,Elite Men,True,2016-06-04,male,True,False,2016 SEN Sprint Triathlon National Championships,,Senegal,[-1],['']
323394,122749,Elite Men,True,2016-06-04,male,True,False,2016 UKR Triathlon National Championships,,Ukraine,[-1],['']
281124,100889,Junior Men,True,2016-06-04,male,True,False,2016 Kupiskis ETU Triathlon Junior European Cup,Kupiskis,Lithuania,[342],['Continental Junior Cup']
282681,103072,Elite Men,True,2016-06-05,male,True,False,2016 New Taipei City ASTC Triathlon Asian Cup and Strait Cup,New taipei city green bay beach,Chinese taipei,[341],['Continental Cup']
309690,111252,Junior Men,True,2016-06-05,male,True,False,2016 FRA Triathlon Junior National Championships,,France,[-1],['']
309592,111227,Junior Men,True,2016-06-10,male,True,False,2016 BLR Triathlon Junior National Championships,,Belarus,[-1],['']
306773,110005,Elite Men,True,2016-06-11,male,True,False,2016 AUT Sprint Triathlon National Championship,,Austria,[-1],['']
306831,110005,Junior Men,True,2016-06-11,male,True,False,2016 AUT Sprint Triathlon National Championship,,Austria,[-1],['']
308142,110540,Junior Men,True,2016-06-11,male,True,False,2016 SLO Triathlon Junior National Championships,,Slovenia,[-1],['']
309041,111061,Elite Men,True,2016-06-11,male,True,False,2016 TTO Triathlon National Championships,,Trinidad and tobago,[-1],['']
309573,111061,Junior Men,True,2016-06-11,male,True,False,2016 TTO Triathlon National Championships,,Trinidad and tobago,[-1],['']
309711,111257,Elite Men,True,2016-06-11,male,True,False,2016 UZB Triathlon National Championships,,Uzbekistan,[-1],['']
309713,111257,Junior Men,True,2016-06-11,male,True,False,2016 UZB Triathlon National Championships,,Uzbekistan,[-1],['']
310076,111535,Elite Men,True,2016-06-11,male,True,False,2016 BOL Sprint Triathlon National Championships,,Bolivia,[-1],['']
281144,97641,Elite Men,True,2016-06-12,male,True,False,2016 ITU World Triathlon Leeds,Leeds,Great britain,[351],['World Championship Series']
281153,100890,Elite Men,True,2016-06-12,male,True,False,2016 Weert ETU Triathlon European Cup,Weert,Netherlands,[341],['Continental Cup']
281219,100627,U23 Men,True,2016-06-18,male,True,False,2016 Burgas ETU Triathlon U23 European Championships,Burgas,Bulgaria,[340],['Continental Championships']
304021,100891,Junior Men,True,2016-06-19,male,True,False,2016 Kitzbühel ETU Triathlon Junior European Cup,Kitzbuehel ,Austria,[342],['Continental Junior Cup']
281231,101523,Elite Men,True,2016-06-19,male,True,False,2016 Ibarra CAMTRI Triathlon American Cup,Ibarra,Ecuador,[341],['Continental Cup']
298913,103605,Junior Men,True,2016-06-18,male,True,False,2016 Burgas ETU Triathlon Junior European Cup,Burgas,Bulgaria,[342],['Continental Junior Cup']
308816,110829,Elite Men,True,2016-06-18,male,True,False,2016 LAT Sprint Triathlon National Championships,,Latvia,[-1],['']
