event_id,event_title,event_slug,event_venue,event_website,event_date,event_country,event_region_id,event_country_id,event_latitude,event_longitude,event_categories,event_specifications
78903,2013 SLO Triathlon National Championships,2013-slo-triathlon-national-championships,,,2013-07-07,Slovenia,10,266,46.151241,14.995463,,"[{'event_id': 78903, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 78903, 'cat_id': 377, 'cat_name': 'Standard', 'cat_parent_id': 357}]"
78923,2013 SLO Triathlon Junior National Championships,2013-slo-triathlon-junior-national-championships,,,2013-07-07,Slovenia,10,266,46.151241,14.995463,,"[{'event_id': 78923, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 78923, 'cat_id': 376, 'cat_name': 'Sprint', 'cat_parent_id': 357}]"
79873,2013 CRO Triathlon National Championships,2013-triathlon-national-championships,,,2013-07-07,Croatia,10,149,45.1,15.2,,"[{'event_id': 79873, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 79873, 'cat_id': 377, 'cat_name': 'Standard', 'cat_parent_id': 357}]"
80347,2013 GBR Triathlon National Championships,2013-gbr-triathlon-national-championships,,,2013-07-13,Great Britain,10,292,53.8337367,-2.4290148,,"[{'event_id': 80347, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 80347, 'cat_id': 376, 'cat_name': 'Sprint', 'cat_parent_id': 357}]"
80348,2013 GBR Triathlon Junior National Championships,2013-gbr-triathlon-junior-national-championships,,,2013-07-13,Great Britain,10,292,53.8337367,-2.4290148,,"[{'event_id': 80348, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 80348, 'cat_id': 376, 'cat_name': 'Sprint', 'cat_parent_id': 357}]"
55597,2013 The Hague - Kijkduin ITU Cross Triathlon World Championships,2013-den-haag-itu-cross-triathlon-world-championships,Den Haag (The Hague),https://web.archive.org/web/20131231100000/http://www.beach-challenge.nl?lang=en,2013-07-13,Netherlands,10,230,52.0704978,4.3006999,"[{'event_id': 55597, 'cat_id': 348, 'cat_name': 'World Championships', 'cat_parent_id': 1}]","[{'event_id': 55597, 'cat_id': 354, 'cat_name': 'Cross Triathlon', 'cat_parent_id': 3}, {'event_id': 55597, 'cat_id': 362, 'cat_name': 'Sprint', 'cat_parent_id': 354}, {'event_id': 55597, 'cat_id': 363, 'cat_name': 'Standard', 'cat_parent_id': 354}, {'event_id': 55597, 'cat_id': 366, 'cat_name': 'Paratriathlon', 'cat_parent_id': 354}]"
78849,2013 GBR Para Triathlon National Championships,2013-gbr-paratriathlon-national-championships,,,2013-07-13,Great Britain,10,292,53.8337367,-2.4290148,,"[{'event_id': 78849, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 78849, 'cat_id': 376, 'cat_name': 'Sprint', 'cat_parent_id': 357}, {'event_id': 78849, 'cat_id': 381, 'cat_name': 'Paratriathlon', 'cat_parent_id': 357}]"
66850,2013 Palamos ITU Triathlon World Cup,2013-palamos-itu-triathlon-world-cup,Palamos,http://www.bdream.es,2013-07-14,Spain,10,270,41.85051,3.12982,"[{'event_id': 66850, 'cat_id': 349, 'cat_name': 'World Cup', 'cat_parent_id': 1}]","[{'event_id': 66850, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 66850, 'cat_id': 377, 'cat_name': 'Standard', 'cat_parent_id': 357}]"
78950,2013 GER Long Distance Triathlon National Championships,2013-ger-long-distance-triathlon-national-championships,,,2013-07-14,Germany,10,170,51.165691,10.451526,,"[{'event_id': 78950, 'cat_id': 356, 'cat_name': 'Long Distance Triathlon', 'cat_parent_id': 3}, {'event_id': 78950, 'cat_id': 374, 'cat_name': 'Long Distance', 'cat_parent_id': 356}]"
78951,2013 GER Triathlon Junior National Championships,2013-ger-triathlon-junior-national-championships,,,2013-07-14,Germany,10,170,51.165691,10.451526,,"[{'event_id': 78951, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 78951, 'cat_id': 376, 'cat_name': 'Sprint', 'cat_parent_id': 357}]"
79561,2013 CAN Long Distance Triathlon National Championships,2013-can-long-distance-triathlon-national-championships,,,2013-07-14,Canada,11,135,56.130366,-106.346771,,"[{'event_id': 79561, 'cat_id': 356, 'cat_name': 'Long Distance Triathlon', 'cat_parent_id': 3}, {'event_id': 79561, 'cat_id': 373, 'cat_name': 'Middle Distance', 'cat_parent_id': 356}]"
